SITE,MEAN,STDDEV,MIN,MAX
a,52630.10333,34319.37142,6109.227937,93574.42956
b,51431.42646,33544.09611,5616.502316,91500.33497
c,58872.26747,44280.9372,5038.33379,114652.4692
d,61458.34288,42263.31626,6298.641164,110137.8957
e,50935.03375,34518.98515,5616.502316,92018.13085
f,53324.20614,30585.0794,6109.227937,90608.26031
g,56459.81644,40818.87574,3182.934869,103629.1587
h,51955.016,40755.65135,4291.894282,104745.2335
i,51226.98071,38635.46816,4291.894282,101718.7162
j,56246.7972,43002.62756,4332.39282,111490.7589
k,66313.54244,42332.54813,10646.2633,114652.4692
l,56541.70742,42417.65877,1160.688707,110187.2798
m,55935.92518,42614.44484,1160.688707,109869.487
n,56733.63541,43971.21351,4332.39282,112594.703
o,53440.95611,37940.23438,6688.636546,97960.2285
p,51750.52267,34082.92619,5556.217232,98565.56899
q,67138.63612,29604.70996,29414.32352,101704.9301
r,49166.83216,32464.85151,7027.35986,94083.70135
s,51199.07716,37267.89381,5556.217232,101008.6002
t,58645.45144,41876.83507,3182.934869,106782.5296
