pesticide,type,class,moa
Acephate,Insecticide,organophosphate,1
Acetamiprid,Insecticide,neonicotinoid,4
Ametryn,Herbicide,,
Amitraz,Insecticide,,19
Atrazine,Herbicide,,
Avermectin.B1a,Insecticide,,6
Azoxystrobin,Fungicide,,
Bendiocarb,Insecticide,carbamate,1
Boscalid,Fungicide,,
Bromuconazole,Fungicide,,
Carbaryl,Insecticide,carbamate,1
Carbofuran,Insecticide,carbamate,1
Chlorantraniliprole,Insecticide,ryanoid,28
Chlorpyrifos,Insecticide,organophosphate,1
Clomazone,Herbicide,,
Clothianidin,Insecticide,neonicotinoid,4
Coumaphos,Insecticide,organophosphate,1
Cyanazine,Herbicide,,
Cyantraniliprole,Insecticide,ryanoid,28
Cyflufenamid,Fungicide,,
Cyprodinil,Fungicide,,
Cyromazine,Insecticide,,17
Difenoconazole,Fungicide,,
Diflubenzuron,Insecticide,,15
Dimoxystrobin,Fungicide,,
Dinotefuran,Insecticide,neonicotinoid,4
Diuron,Herbicide,,
Fenamidone,Fungicide,,
Fenbuconazole,Fungicide,,
Fenhexamid,Fungicide,,
Fenpyroximate,Insecticide,,21
Fipronil,Insecticide,,2
Fluazifop,Herbicide,,
Fluazinam,Fungicide,,
Fludioxonil,Fungicide,,
Flufenacet,Herbicide,,
Flumioxazin,Herbicide,,
Fluometuron,Herbicide,,
Fluopicolide,Fungicide,,
Fluopyram,Fungicide,,
Fluoxastrobin,Fungicide,,
Flupyradifurone,Insecticide,,4
Fluxapyroxad,Fungicide,,
Fumagillin,Fungicide,,
Hexaflumuron,Insecticide,,15
Hydroxychlorothalonil,Fungicide,,
Imidacloprid,Insecticide,neonicotinoid,4
Indoxacarb,Insecticide,,22
Malaoxon,Insecticide,organophosphate,1
Mandipropamid,Fungicide,,
Metalaxyl,Fungicide,,
Metazachlor,Herbicide,,
Metconazole,Fungicide,,
Methiocarb,Insecticide,carbamate,1
Methoprotryne,Herbicide,,
Methoxyfenozide,Insecticide,growth regulator,18
Metobromuron,Herbicide,,
Metolachlor,Herbicide,,
Mevinphos,Insecticide,organophosphate,1
Myclobutanil,Fungicide,,
Napropamide,Herbicide,,
Penthiopyrad,Fungicide,,
Phenmedipham,Herbicide,,
Phosmet,Insecticide,organophosphate,1
Picoxystrobin,Fungicide,,
Piperonyl.butoxide,Synergist,,
Profenophos,Insecticide,organophosphate,1
Prometon,Herbicide,,
Prometryn,Herbicide,,
Propazine,Herbicide,,
Propiconazole,Fungicide,,
Pyraclostrobin,Fungicide,,
Pyrimethanil,Fungicide,,
Spinetoram,Insecticide,,5
Spinosad,Insecticide,,5
Spirotetramat,Insecticide,,23
Sulfentrazone,Herbicide,,
Sulfoxaflor,Insecticide,,4
Tebuconazole,Fungicide,,
Tebufenozide,Insecticide,,18
Tebuthiuron,Herbicide,,
Terbutryn,Herbicide,,
Tetraconazole,Fungicide,,
Tetramethrin,Insecticide,,3
Thiabendazole,Fungicide,,
Thiacloprid,Insecticide,neonicotinoid,4
Thiamethoxam,Insecticide,neonicotinoid,4
Thiobencarb,Herbicide,,
Thiophanate.methyl,Fungicide,,
Triadimefon,Fungicide,,
Trifloxystrobin,Fungicide,,
Triflumizole,Fungicide,,
